Date.Time,Unit,Value
2016-11-14 11:33:44,C,36.9
2016-11-14 11:36:44,C,37.1
2016-11-14 11:39:44,C,36.8
2016-11-14 11:42:44,C,36.8
2016-11-14 11:45:44,C,37
2016-11-14 11:48:44,C,36.8
2016-11-14 11:51:44,C,36.7
2016-11-14 11:54:44,C,36.5
2016-11-14 11:57:44,C,36.5
2016-11-14 12:00:44,C,36.9
2016-11-14 12:03:44,C,36.9
2016-11-14 12:06:44,C,36.7
2016-11-14 12:09:44,C,36.7
2016-11-14 12:12:44,C,36.8
2016-11-14 12:15:44,C,36.8
2016-11-14 12:18:44,C,36.9
2016-11-14 12:21:44,C,36.4
2016-11-14 12:24:44,C,36.7
2016-11-14 12:27:44,C,36.4
2016-11-14 12:30:44,C,36.7
2016-11-14 12:33:44,C,36.5
2016-11-14 12:36:44,C,36.5
2016-11-14 12:39:44,C,36.4
2016-11-14 12:42:44,C,36.5
2016-11-14 12:45:44,C,36.3
2016-11-14 12:48:44,C,36.3
2016-11-14 12:51:44,C,36.3
2016-11-14 12:54:44,C,36.3
2016-11-14 12:57:44,C,36
2016-11-14 13:00:44,C,36.2
2016-11-14 13:03:44,C,36.4
2016-11-14 13:06:44,C,36
2016-11-14 13:09:44,C,36.1
2016-11-14 13:12:44,C,36.1
2016-11-14 13:15:44,C,36
2016-11-14 13:18:44,C,36
2016-11-14 13:21:44,C,36.1
2016-11-14 13:24:44,C,35.9
2016-11-14 13:27:44,C,36.1
2016-11-14 13:30:44,C,35.9
2016-11-14 13:33:44,C,35.8
2016-11-14 13:36:44,C,35.8
2016-11-14 13:39:44,C,35.9
2016-11-14 13:42:44,C,35.9
2016-11-14 13:45:44,C,35.7
2016-11-14 13:48:44,C,35.8
2016-11-14 13:51:44,C,35.6
2016-11-14 13:54:44,C,38.9
2016-11-14 13:57:44,C,51.3
2016-11-14 14:00:44,C,58.1
2016-11-14 14:03:44,C,61.7
2016-11-14 14:06:44,C,59.1
2016-11-14 14:09:44,C,58.2
2016-11-14 14:12:44,C,51
2016-11-14 14:15:44,C,46.6
2016-11-14 14:18:44,C,45.8
2016-11-14 14:21:44,C,44.8
2016-11-14 14:24:44,C,43.9
2016-11-14 14:27:44,C,47.3
2016-11-14 14:30:44,C,49.6
2016-11-14 14:33:44,C,49.9
2016-11-14 14:36:44,C,48.9
2016-11-14 14:39:44,C,48.5
2016-11-14 14:42:44,C,48.4
2016-11-14 14:45:44,C,47.4
2016-11-14 14:48:44,C,46.9
2016-11-14 14:51:44,C,46.9
2016-11-14 14:54:44,C,47.8
2016-11-14 14:57:44,C,52.4
2016-11-14 15:00:44,C,52.9
2016-11-14 15:03:44,C,48.6
2016-11-14 15:06:44,C,58
2016-11-14 15:09:44,C,60.7
2016-11-14 15:12:44,C,50.2
2016-11-14 15:15:44,C,50.7
2016-11-14 15:18:44,C,48.9
2016-11-14 15:21:44,C,48.3
2016-11-14 15:24:44,C,45.5
2016-11-14 15:27:44,C,48.8
2016-11-14 15:30:44,C,47.8
2016-11-14 15:33:44,C,46.2
2016-11-14 15:36:44,C,42.1
2016-11-14 15:39:44,C,41.8
2016-11-14 15:42:44,C,48.3
2016-11-14 15:45:44,C,47.6
2016-11-14 15:48:44,C,49.4
2016-11-14 15:51:44,C,48.4
2016-11-14 15:54:44,C,46.9
2016-11-14 15:57:44,C,44.4
2016-11-14 16:00:44,C,42.6
2016-11-14 16:03:44,C,42.5
2016-11-14 16:06:44,C,42.2
2016-11-14 16:09:44,C,42.4
2016-11-14 16:12:44,C,42.3
2016-11-14 16:15:44,C,41.7
2016-11-14 16:18:44,C,41.6
2016-11-14 16:21:44,C,41.1
2016-11-14 16:24:44,C,41
2016-11-14 16:27:44,C,41.3
2016-11-14 16:30:44,C,41.3
2016-11-14 16:33:44,C,41.3
2016-11-14 16:36:44,C,40.8
2016-11-14 16:39:44,C,40.5
2016-11-14 16:42:44,C,40.2
2016-11-14 16:45:44,C,39.9
2016-11-14 16:48:44,C,40.1
2016-11-14 16:51:44,C,39.8
2016-11-14 16:54:44,C,39.7
2016-11-14 16:57:44,C,40
2016-11-14 17:00:44,C,39.1
2016-11-14 17:03:44,C,39.6
2016-11-14 17:06:44,C,39.5
2016-11-14 17:09:44,C,39.2
2016-11-14 17:12:44,C,39.1
2016-11-14 17:15:44,C,39.2
2016-11-14 17:18:44,C,38.9
2016-11-14 17:21:44,C,38.9
2016-11-14 17:24:44,C,38.9
2016-11-14 17:27:44,C,38.6
2016-11-14 17:30:44,C,38.8
2016-11-14 17:33:44,C,38.3
2016-11-14 17:36:44,C,38
2016-11-14 17:39:44,C,37.9
2016-11-14 17:42:44,C,37.8
2016-11-14 17:45:44,C,37.7
2016-11-14 17:48:44,C,37.9
2016-11-14 17:51:44,C,37.8
2016-11-14 17:54:44,C,37.8
2016-11-14 17:57:44,C,37.7
2016-11-14 18:00:44,C,37.4
2016-11-14 18:03:44,C,37.4
2016-11-14 18:06:44,C,37.3
2016-11-14 18:09:44,C,37.3
2016-11-14 18:12:44,C,37.2
2016-11-14 18:15:44,C,37.4
2016-11-14 18:18:44,C,37.1
2016-11-14 18:21:44,C,36.9
2016-11-14 18:24:44,C,36.8
2016-11-14 18:27:44,C,36.7
2016-11-14 18:30:44,C,36.7
2016-11-14 18:33:44,C,36.8
2016-11-14 18:36:44,C,36.1
2016-11-14 18:39:44,C,35.6
2016-11-14 18:42:44,C,35.8
2016-11-14 18:45:44,C,35.8
2016-11-14 18:48:44,C,35.9
2016-11-14 18:51:44,C,35.9
2016-11-14 18:54:44,C,36
2016-11-14 18:57:44,C,36.2
2016-11-14 19:00:44,C,35.5
2016-11-14 19:03:44,C,35.5
2016-11-14 19:06:44,C,35.6
2016-11-14 19:09:44,C,35.4
2016-11-14 19:12:44,C,35.5
2016-11-14 19:15:44,C,35.6
2016-11-14 19:18:44,C,35.8
2016-11-14 19:21:44,C,35.7
2016-11-14 19:24:44,C,35.7
2016-11-14 19:27:44,C,35.2
2016-11-14 19:30:44,C,35.2
2016-11-14 19:33:44,C,34.9
2016-11-14 19:36:44,C,34.7
2016-11-14 19:39:44,C,34.4
2016-11-14 19:42:44,C,34.2
